Date,Miami University
5/30/2021,606
5/31/2021,573
6/1/2021,543
6/2/2021,596
6/3/2021,658
6/4/2021,483
6/5/2021,510
6/6/2021,529
6/7/2021,557
6/8/2021,564
6/9/2021,544
6/10/2021,716
6/11/2021,599
6/12/2021,491
6/13/2021,508
6/14/2021,526
6/15/2021,523
6/16/2021,474
6/17/2021,487
6/18/2021,447
6/19/2021,450
6/20/2021,462
6/21/2021,477
6/22/2021,495
6/23/2021,478
6/24/2021,549
6/25/2021,554
6/26/2021,504
6/27/2021,534
6/28/2021,542
6/29/2021,607
6/30/2021,506
7/1/2021,657
7/2/2021,524
7/3/2021,521
7/4/2021,481
7/5/2021,593
7/6/2021,635
7/7/2021,625
7/8/2021,587
7/9/2021,567
7/10/2021,472
7/11/2021,565
7/12/2021,677
7/13/2021,582
7/14/2021,550
7/15/2021,502
7/16/2021,485
7/17/2021,543
7/18/2021,552
7/19/2021,569
7/20/2021,592
7/21/2021,603
7/22/2021,639
7/23/2021,646
7/24/2021,547
7/25/2021,528
7/26/2021,552
7/27/2021,545
7/28/2021,605
7/29/2021,583
7/30/2021,559
7/31/2021,510
