country,year,women_murdered
Albania,1949,NA
Albania,1950,NA
Albania,1951,NA
Albania,1952,NA
Albania,1953,NA
Albania,1954,NA
Albania,1955,NA
Albania,1956,NA
Albania,1957,NA
Albania,1958,NA
Albania,1959,NA
Albania,1960,NA
Albania,1961,NA
Albania,1962,NA
Albania,1963,NA
Albania,1964,NA
Albania,1965,NA
Albania,1966,NA
Albania,1967,NA
Albania,1968,NA
Albania,1969,NA
Albania,1970,NA
Albania,1971,NA
Albania,1972,NA
Albania,1973,NA
Albania,1974,NA
Albania,1975,NA
Albania,1976,NA
Albania,1977,NA
Albania,1978,NA
Albania,1979,NA
Albania,1980,NA
Albania,1981,NA
Albania,1982,NA
Albania,1983,NA
Albania,1984,NA
Albania,1985,NA
Albania,1986,0.663
Albania,1987,0.732
Albania,1988,1.43
Albania,1989,NA
Albania,1990,NA
Albania,1991,0.94
Albania,1992,0.987
Albania,1993,0.692
Albania,1994,1.53
Albania,1995,1.75
Albania,1996,10.4
Albania,1997,4.92
Albania,1998,3.75
Albania,1999,0.743
Albania,2000,2.58
Albania,2001,2.56
Albania,2002,1.36
Albania,2003,1.19
Albania,2004,NA
Albania,2005,NA
Albania,2006,0.96
Albania,2007,1.35
Albania,2008,NA
Albania,2009,0.441
Albania,2010,NA
Albania,2011,NA
Albania,2012,NA
Albania,2013,NA
Albania,2014,NA
Albania,2015,NA
Argentina,1949,NA
Argentina,1950,NA
Argentina,1951,NA
Argentina,1952,NA
Argentina,1953,NA
Argentina,1954,NA
Argentina,1955,NA
Argentina,1956,NA
Argentina,1957,NA
Argentina,1958,NA
Argentina,1959,NA
Argentina,1960,NA
Argentina,1961,NA
Argentina,1962,NA
Argentina,1963,NA
Argentina,1964,NA
Argentina,1965,1.54
Argentina,1966,2.22
Argentina,1967,2.22
Argentina,1968,2.51
Argentina,1969,2.27
Argentina,1970,NA
Argentina,1971,NA
Argentina,1972,NA
Argentina,1973,NA
Argentina,1974,NA
Argentina,1975,NA
Argentina,1976,2.96
Argentina,1977,2.14
Argentina,1978,1.51
Argentina,1979,1.59
Argentina,1980,1.79
Argentina,1981,1.62
Argentina,1982,1.67
Argentina,1983,1.95
Argentina,1984,1.68
Argentina,1985,2.16
Argentina,1986,1.91
Argentina,1987,1.89
Argentina,1988,1.93
Argentina,1989,1.53
Argentina,1990,1.35
Argentina,1991,1.67
Argentina,1992,1.54
Argentina,1993,1.61
Argentina,1994,1.38
Argentina,1995,1.46
Argentina,1996,NA
Argentina,1997,NA
Argentina,1998,NA
Argentina,1999,NA
Argentina,2000,NA
Argentina,2001,NA
Argentina,2002,NA
Argentina,2003,NA
Argentina,2004,NA
Argentina,2005,NA
Argentina,2006,NA
Argentina,2007,NA
Argentina,2008,NA
Argentina,2009,NA
Argentina,2010,NA
Argentina,2011,NA
Argentina,2012,NA
Argentina,2013,NA
Argentina,2014,NA
Argentina,2015,NA
Armenia,1949,NA
Armenia,1950,NA
Armenia,1951,NA
Armenia,1952,NA
Armenia,1953,NA
Armenia,1954,NA
Armenia,1955,NA
Armenia,1956,NA
Armenia,1957,NA
Armenia,1958,NA
Armenia,1959,NA
Armenia,1960,NA
Armenia,1961,NA
Armenia,1962,NA
Armenia,1963,NA
Armenia,1964,NA
Armenia,1965,NA
Armenia,1966,NA
Armenia,1967,NA
Armenia,1968,NA
Armenia,1969,NA
Armenia,1970,NA
Armenia,1971,NA
Armenia,1972,NA
Armenia,1973,NA
Armenia,1974,NA
Armenia,1975,NA
Armenia,1976,NA
Armenia,1977,NA
Armenia,1978,NA
Armenia,1979,NA
Armenia,1980,1.06
Armenia,1981,0.845
Armenia,1982,NA
Armenia,1983,NA
Armenia,1984,0.866
Armenia,1985,0.812
Armenia,1986,1.21
Armenia,1987,1.44
Armenia,1988,1.46
Armenia,1989,1.46
Armenia,1990,2.15
Armenia,1991,5.24
Armenia,1992,3.04
Armenia,1993,1.44
Armenia,1994,1.25
Armenia,1995,1.16
Armenia,1996,1.04
Armenia,1997,0.795
Armenia,1998,1.04
Armenia,1999,1.19
Armenia,2000,0.542
Armenia,2001,0.868
Armenia,2002,0.545
Armenia,2003,NA
Armenia,2004,NA
Armenia,2005,NA
Armenia,2006,NA
Armenia,2007,0.931
Armenia,2008,NA
Armenia,2009,NA
Armenia,2010,NA
Armenia,2011,0.69
Armenia,2012,0.528
Armenia,2013,0.729
Armenia,2014,0.678
Armenia,2015,0.427
Antigua and Barbuda,1949,NA
Antigua and Barbuda,1950,NA
Antigua and Barbuda,1951,NA
Antigua and Barbuda,1952,NA
Antigua and Barbuda,1953,NA
Antigua and Barbuda,1954,NA
Antigua and Barbuda,1955,NA
Antigua and Barbuda,1956,NA
Antigua and Barbuda,1957,NA
Antigua and Barbuda,1958,NA
Antigua and Barbuda,1959,NA
Antigua and Barbuda,1960,2.92
Antigua and Barbuda,1961,NA
