Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct
2022-01-01,39017,0,Butler County,OH,53.7,36.5
2022-01-02,39017,0,Butler County,OH,53.7,36.5
2022-01-03,39017,1,Butler County,OH,53.7,36.5
2022-01-04,39017,1,Butler County,OH,53.8,37.5
2022-01-05,39017,1,Butler County,OH,53.9,37.9
2022-01-06,39017,1,Butler County,OH,53.9,38.5
2022-01-07,39017,1,Butler County,OH,54,38.9
2022-01-08,39017,1,Butler County,OH,54.1,39.4
2022-01-09,39017,1,Butler County,OH,54.1,39.8
2022-01-10,39017,2,Butler County,OH,54.1,40.2
2022-01-11,39017,2,Butler County,OH,54.2,40.4
2022-01-12,39017,2,Butler County,OH,54.3,40.8
2022-01-13,39017,2,Butler County,OH,54.3,41.2
2022-01-14,39017,2,Butler County,OH,54.3,41.6
2022-01-15,39017,2,Butler County,OH,54.4,42
2022-01-16,39017,2,Butler County,OH,54.4,42.4
2022-01-17,39017,3,Butler County,OH,54.5,42.8
2022-01-18,39017,3,Butler County,OH,54.5,43
2022-01-19,39017,3,Butler County,OH,54.7,43.1
2022-01-20,39017,3,Butler County,OH,54.8,43.4
2022-01-21,39017,3,Butler County,OH,54.8,43.6
2022-01-22,39017,3,Butler County,OH,54.9,43.9
2022-01-23,39017,4,Butler County,OH,54.9,44.1
2022-01-24,39017,4,Butler County,OH,54.9,44.3
2022-01-25,39017,4,Butler County,OH,55,44.4
2022-01-26,39017,4,Butler County,OH,55,44.6
2022-01-27,39017,4,Butler County,OH,55.2,44.8
2022-01-28,39017,4,Butler County,OH,55.2,44.9
2022-01-29,39017,4,Butler County,OH,55.3,45
2022-01-30,39017,5,Butler County,OH,55.3,45.1
2022-01-31,39017,5,Butler County,OH,55.4,45.2
2022-02-01,39017,5,Butler County,OH,55.4,45.3
2022-02-02,39017,5,Butler County,OH,55.5,45.3
2022-02-03,39017,5,Butler County,OH,55.5,45.4
2022-02-04,39017,5,Butler County,OH,55.6,45.4
2022-02-05,39017,5,Butler County,OH,55.6,45.5
2022-02-06,39017,6,Butler County,OH,55.6,45.5
2022-02-07,39017,6,Butler County,OH,55.6,45.5
2022-02-08,39017,6,Butler County,OH,55.7,45.5
2022-02-09,39017,6,Butler County,OH,55.7,45.5
2022-02-10,39017,6,Butler County,OH,55.8,45.6
2022-02-11,39017,6,Butler County,OH,55.8,45.6
2022-02-12,39017,6,Butler County,OH,55.9,45.6
2022-02-13,39017,7,Butler County,OH,55.9,45.7
2022-02-14,39017,7,Butler County,OH,55.9,45.7
2022-02-15,39017,7,Butler County,OH,55.9,45.7
2022-02-16,39017,7,Butler County,OH,56,45.8
2022-02-17,39017,7,Butler County,OH,56,45.8
