unique_id,ds,y
GNP,1947-01-01,244.142
GNP,1947-04-01,247.063
GNP,1947-07-01,250.716
GNP,1947-10-01,260.981
GNP,1948-01-01,267.133
GNP,1948-04-01,274.046
GNP,1948-07-01,280.679
GNP,1948-10-01,281.837
GNP,1949-01-01,276.42
GNP,1949-04-01,272.68
GNP,1949-07-01,274.162
GNP,1949-10-01,271.76
GNP,1950-01-01,282.056
GNP,1950-04-01,291.699
GNP,1950-07-01,309.76
GNP,1950-10-01,321.554
GNP,1951-01-01,337.537
GNP,1951-04-01,345.973
GNP,1951-07-01,353.381
GNP,1951-10-01,358.33
GNP,1952-01-01,361.821
GNP,1952-04-01,363.049
GNP,1952-07-01,369.683
GNP,1952-10-01,382.751
GNP,1953-01-01,389.888
GNP,1953-04-01,393.801
GNP,1953-07-01,392.98
GNP,1953-10-01,387.798
GNP,1954-01-01,387.345
GNP,1954-04-01,388.119
GNP,1954-07-01,393.034
GNP,1954-10-01,402.077
GNP,1955-01-01,415.496
GNP,1955-04-01,423.93
GNP,1955-07-01,432.668
GNP,1955-10-01,439.619
GNP,1956-01-01,442.597
GNP,1956-04-01,448.848
GNP,1956-07-01,454.125
GNP,1956-10-01,463.023
GNP,1957-01-01,472.864
GNP,1957-04-01,475.392
GNP,1957-07-01,482.723
GNP,1957-10-01,477.398
GNP,1958-01-01,470.17
GNP,1958-04-01,474.672
GNP,1958-07-01,488.446
GNP,1958-10-01,502.14
GNP,1959-01-01,512.913
GNP,1959-04-01,525.253
GNP,1959-07-01,527.864
GNP,1959-10-01,531.63
GNP,1960-01-01,545.575
GNP,1960-04-01,544.084
GNP,1960-07-01,548.768
GNP,1960-10-01,543.553
GNP,1961-01-01,548.594
GNP,1961-04-01,558.945
GNP,1961-07-01,571.166
GNP,1961-10-01,584.209
GNP,1962-01-01,597.614
GNP,1962-04-01,604.358
GNP,1962-07-01,613.078
GNP,1962-10-01,617.01
GNP,1963-01-01,626.179
GNP,1963-04-01,634.089
GNP,1963-07-01,648.882
GNP,1963-10-01,658.563
GNP,1964-01-01,674.88
GNP,1964-04-01,683.549
GNP,1964-07-01,697.079
GNP,1964-10-01,702.017
GNP,1965-01-01,723.225
GNP,1965-04-01,735.832
GNP,1965-07-01,754.576
GNP,1965-10-01,776.644
GNP,1966-01-01,800.732
GNP,1966-04-01,810.033
GNP,1966-07-01,824.605
GNP,1966-10-01,838.565
GNP,1967-01-01,849.391
GNP,1967-04-01,854.063
GNP,1967-07-01,870.922
GNP,1967-10-01,887.023
GNP,1968-01-01,915.204
GNP,1968-04-01,940.344
GNP,1968-07-01,957.077
GNP,1968-10-01,974.301
GNP,1969-01-01,999.671
GNP,1969-04-01,1015.181
GNP,1969-07-01,1035.904
