lynx,year
269,1821
321,1822
585,1823
871,1824
1475,1825
2821,1826
3928,1827
5943,1828
4950,1829
2577,1830
523,1831
98,1832
184,1833
279,1834
409,1835
2285,1836
2685,1837
3409,1838
1824,1839
409,1840
151,1841
45,1842
68,1843
213,1844
546,1845
1033,1846
2129,1847
2536,1848
957,1849
361,1850
377,1851
225,1852
360,1853
731,1854
1638,1855
2725,1856
2871,1857
2119,1858
684,1859
299,1860
236,1861
245,1862
552,1863
1623,1864
3311,1865
6721,1866
4254,1867
687,1868
255,1869
473,1870
358,1871
784,1872
1594,1873
1676,1874
2251,1875
1426,1876
756,1877
299,1878
201,1879
229,1880
469,1881
736,1882
2042,1883
2811,1884
4431,1885
2511,1886
389,1887
73,1888
39,1889
49,1890
59,1891
188,1892
377,1893
1292,1894
4031,1895
3495,1896
587,1897
105,1898
153,1899
387,1900
758,1901
1307,1902
3465,1903
6991,1904
6313,1905
3794,1906
1836,1907
345,1908
382,1909
808,1910
1388,1911
2713,1912
3800,1913
3091,1914
2985,1915
3790,1916
674,1917
81,1918
80,1919
108,1920
229,1921
399,1922
1132,1923
2432,1924
3574,1925
2935,1926
1537,1927
529,1928
485,1929
662,1930
1000,1931
1590,1932
2657,1933
3396,1934
