Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Joel Embiid,C,28,PHI,66,11.0,.548,.573,33.1
Luka Dončić,PG,23,DAL,66,10.9,.496,.560,32.4
Damian Lillard,PG,32,POR,58,9.6,.463,.564,32.2
Shai Gilgeous-Alexander,PG,24,OKC,68,10.4,.510,.531,31.4
Giannis Antetokounmpo,PF,28,MIL,63,11.2,.553,.572,31.1
Jayson Tatum,SF,24,BOS,74,9.8,.466,.543,30.1
Kevin Durant,PF,34,BRK,39,10.5,.559,.607,29.7
Stephen Curry,PG,34,GSW,56,10.0,.493,.614,29.4
Kevin Durant,PF,34,TOT,47,10.3,.560,.614,29.1
LeBron James,PF,38,LAL,55,11.1,.500,.549,28.9
Donovan Mitchell,SG,26,CLE,68,10.0,.484,.572,28.3
Devin Booker,SG,26,PHO,53,9.9,.494,.546,27.8
Kyrie Irving,PG-SG,30,TOT,60,9.9,.494,.572,27.1
Kyrie Irving,PG,30,BRK,40,10.0,.486,.565,27.1
Kyrie Irving,SG,30,DAL,20,9.8,.510,.586,27
Jaylen Brown,SF,26,BOS,67,10.1,.491,.550,26.6
Ja Morant,PG,23,MEM,61,9.3,.466,.504,26.2
Trae Young,PG,24,ATL,73,8.2,.429,.485,26.2
Mikal Bridges,SG,26,BRK,27,8.9,.475,.543,26.1
Kevin Durant,PF,34,PHO,8,9.1,.570,.656,26
Zion Williamson,PF,22,NOP,29,9.8,.608,.615,26
Anthony Davis,C,29,LAL,56,9.7,.563,.573,25.9
Lauri Markkanen,PF,25,UTA,66,8.7,.499,.586,25.6
Julius Randle,PF,28,NYK,77,8.5,.459,.536,25.1
De'Aaron Fox,PG,25,SAC,73,9.3,.512,.557,25
Zach LaVine,SG,27,CHI,77,8.7,.485,.558,24.8
Brandon Ingram,SF,25,NOP,45,9.0,.484,.522,24.7
Anthony Edwards,SG,21,MIN,79,8.9,.459,.528,24.6
DeMar DeRozan,SF,33,CHI,74,8.9,.504,.522,24.5
Nikola Jokić,C,27,DEN,69,9.4,.632,.660,24.5
Pascal Siakam,PF,28,TOR,71,8.9,.480,.515,24.2
Jalen Brunson,PG,26,NYK,68,8.6,.491,.547,24
Paul George,SF,32,LAC,56,8.2,.457,.536,23.8
Kawhi Leonard,SF,31,LAC,52,8.6,.512,.572,23.8
LaMelo Ball,PG,21,CHO,36,8.2,.411,.510,23.3
Bradley Beal,SG,29,WAS,50,8.9,.506,.551,23.2
Kristaps Porziņģis,C,27,WAS,65,7.8,.498,.565,23.2
Jimmy Butler,PF,33,MIA,64,7.5,.539,.560,22.9
Jalen Green,SG,20,HOU,76,7.4,.416,.485,22.1
Keldon Johnson,SF,23,SAS,63,8.0,.452,.512,22
Klay Thompson,SF,32,GSW,69,7.9,.436,.556,21.9
Bojan Bogdanović,PF,33,DET,59,7.3,.488,.570,21.6
Darius Garland,PG,23,CLE,69,7.6,.462,.537,21.6
Desmond Bane,SG,24,MEM,58,7.8,.479,.568,21.5
Kyle Kuzma,PF,27,WAS,64,8.0,.448,.518,21.2
Terry Rozier,SG,28,CHO,63,7.8,.415,.484,21.1
Anfernee Simons,SG,23,POR,62,7.5,.447,.548,21.1
James Harden,PG,33,PHI,58,6.4,.441,.536,21
CJ McCollum,SG,31,NOP,75,7.8,.437,.515,20.9
Jordan Clarkson,SG,30,UTA,61,7.5,.444,.519,20.8
Karl-Anthony Towns,PF,27,MIN,29,7.3,.495,.565,20.8
Tyrese Haliburton,PG,22,IND,56,7.4,.490,.586,20.7
Jerami Grant,PF,28,POR,63,6.9,.475,.554,20.5
Dejounte Murray,SG,26,ATL,74,8.3,.464,.514,20.5
Bam Adebayo,C,25,MIA,75,8.0,.540,.541,20.4
Jordan Poole,PG,23,GSW,82,6.7,.430,.514,20.4
Tyrese Maxey,SG,22,PHI,60,7.3,.481,.568,20.3
Kelly Oubre Jr.,SF,27,CHO,48,7.4,.431,.497,20.3
Mikal Bridges,SF-SG,26,TOT,83,7.1,.468,.535,20.1
Tyler Herro,SG,23,MIA,67,7.3,.439,.531,20.1
Paolo Banchero,PF,20,ORL,72,6.7,.427,.465,20
Louis King,PF,23,PHI,1,8.0,.615,.769,20
Jamal Murray,PG,25,DEN,65,7.3,.454,.537,20
Cade Cunningham,PG,21,DET,12,7.8,.415,.453,19.9
RJ Barrett,SG,22,NYK,73,7.0,.434,.485,19.6
Jrue Holiday,PG,32,MIL,67,7.3,.479,.556,19.3
Fred VanVleet,PG,28,TOR,69,6.3,.393,.486,19.3
Kevin Porter Jr.,PG,22,HOU,59,6.6,.442,.522,19.2
Domantas Sabonis,C,26,SAC,79,7.3,.615,.632,19.1
Jaren Jackson Jr.,C,23,MEM,63,6.6,.506,.567,18.6
Franz Wagner,SF,21,ORL,80,6.8,.485,.543,18.6
Devin Vassell,SG,22,SAS,38,6.9,.439,.525,18.5
Deandre Ayton,C,24,PHO,67,7.8,.589,.592,18
Myles Turner,C,26,IND,62,6.5,.548,.612,18
D'Angelo Russell,PG,26,MIN,54,6.3,.465,.567,17.9
D'Angelo Russell,PG,26,TOT,71,6.3,.469,.572,17.8
Spencer Dinwiddie,SG,29,DAL,53,6.0,.455,.555,17.7
Nikola Vučević,C,32,CHI,82,7.3,.520,.573,17.6
Michael Porter Jr.,SF,24,DEN,62,6.4,.487,.602,17.4
D'Angelo Russell,PG,26,LAL,17,6.3,.484,.588,17.4
Gary Trent Jr.,SG,24,TOR,66,6.1,.433,.522,17.4
Spencer Dinwiddie,SG-PG,29,TOT,79,5.8,.438,.524,17.3
Mikal Bridges,SF,26,PHO,56,6.3,.463,.529,17.2
Andrew Wiggins,SF,27,GSW,37,6.8,.473,.557,17.1
Norman Powell,SG,29,LAC,60,5.7,.479,.559,17
OG Anunoby,SF,25,TOR,67,6.3,.476,.556,16.8
Buddy Hield,SF,30,IND,80,5.9,.458,.596,16.8
Bennedict Mathurin,SG,20,IND,78,5.3,.434,.487,16.7
Josh Giddey,PF,20,OKC,76,7.1,.482,.516,16.6
Cameron Johnson,PF,26,BRK,25,5.6,.468,.565,16.6
Christian Wood,C,27,DAL,67,5.9,.515,.583,16.6
Spencer Dinwiddie,PG,29,BRK,26,5.5,.404,.465,16.5
Aaron Gordon,PF,27,DEN,68,6.3,.564,.603,16.3
Jaden Ivey,SG,20,DET,74,5.5,.416,.477,16.3
Evan Mobley,PF,21,CLE,79,6.6,.554,.566,16.2
