date,administrative_area_level_2,administrative_area_level_3,population,people_fully_vaccinated,perc_pop_vaccinated
2021-01-01,Ohio,Stark,370606,0,0
2021-01-02,Ohio,Stark,370606,0,0
2021-01-03,Ohio,Stark,370606,0,0
2021-01-04,Ohio,Stark,370606,0,0
2021-01-05,Ohio,Stark,370606,0,0
2021-01-06,Ohio,Stark,370606,0,0
2021-01-07,Ohio,Stark,370606,0,0
2021-01-08,Ohio,Stark,370606,0,0
2021-01-09,Ohio,Stark,370606,0,0
2021-01-10,Ohio,Stark,370606,0,0
2021-01-11,Ohio,Stark,370606,0,0
2021-01-12,Ohio,Stark,370606,0,0
2021-01-13,Ohio,Stark,370606,0,0
2021-01-14,Ohio,Stark,370606,0,0
2021-01-15,Ohio,Stark,370606,71,0.019157811800132755
2021-01-16,Ohio,Stark,370606,308,0.08310712724564633
2021-01-17,Ohio,Stark,370606,336,0.09066232063161417
2021-01-18,Ohio,Stark,370606,343,0.09255111897810613
2021-01-19,Ohio,Stark,370606,344,0.09282094731331926
2021-01-20,Ohio,Stark,370606,360,0.09713820067672946
2021-01-21,Ohio,Stark,370606,369,0.0995666556936477
2021-01-22,Ohio,Stark,370606,693,0.18699103630270422
2021-01-23,Ohio,Stark,370606,1108,0.29896979541615626
2021-01-24,Ohio,Stark,370606,1481,0.3996157644506565
2021-01-25,Ohio,Stark,370606,1788,0.4824530633610897
2021-01-26,Ohio,Stark,370606,1802,0.4862306600540736
2021-01-27,Ohio,Stark,370606,1913,0.5161816052627318
2021-01-28,Ohio,Stark,370606,2423,0.6537940562214319
2021-01-29,Ohio,Stark,370606,2973,0.8021996405886574
2021-01-30,Ohio,Stark,370606,3482,0.9395422632121444
2021-01-31,Ohio,Stark,370606,4719,1.2733199138707954
2021-02-01,Ohio,Stark,370606,4719,1.2733199138707954
2021-02-02,Ohio,Stark,370606,4894,1.3205398725330943
2021-02-03,Ohio,Stark,370606,4987,1.3456339077079162
2021-02-04,Ohio,Stark,370606,5324,1.4365660566747436
2021-02-05,Ohio,Stark,370606,5989,1.61600189959148
2021-02-06,Ohio,Stark,370606,6520,1.759280745589656
2021-02-07,Ohio,Stark,370606,7940,2.142436981592311
2021-02-08,Ohio,Stark,370606,8090,2.1829112318742814
2021-02-09,Ohio,Stark,370606,8317,2.244162263967664
2021-02-10,Ohio,Stark,370606,8629,2.3283487045541627
2021-02-11,Ohio,Stark,370606,8672,2.3399513229683278
2021-02-12,Ohio,Stark,370606,9232,2.4910551906876846
2021-02-13,Ohio,Stark,370606,9559,2.5792890563023803
2021-02-14,Ohio,Stark,370606,10144,2.7371386324020657
2021-02-15,Ohio,Stark,370606,10481,2.828070781368893
2021-02-16,Ohio,Stark,370606,10846,2.9265581237216884
2021-02-17,Ohio,Stark,370606,11256,3.0371877411590744
2021-02-18,Ohio,Stark,370606,12040,3.2487331559661743
2021-02-19,Ohio,Stark,370606,12742,3.4381526472857966
2021-02-20,Ohio,Stark,370606,12780,3.448406124023896
2021-02-21,Ohio,Stark,370606,14751,3.98023777272899
2021-02-22,Ohio,Stark,370606,15904,4.291349843229737
2021-02-23,Ohio,Stark,370606,16208,4.373377657134531
2021-02-24,Ohio,Stark,370606,16573,4.471864999487326
2021-02-25,Ohio,Stark,370606,17131,4.622429210536257
2021-02-26,Ohio,Stark,370606,17749,4.789183121697976
2021-02-27,Ohio,Stark,370606,18675,5.039044160105341
2021-02-28,Ohio,Stark,370606,21528,5.808864400468422
2021-03-01,Ohio,Stark,370606,21529,5.809134228803635
2021-03-02,Ohio,Stark,370606,21987,5.932715606331252
2021-03-03,Ohio,Stark,370606,22396,6.0430753954334255
2021-03-04,Ohio,Stark,370606,23077,6.2268284917135714
2021-03-05,Ohio,Stark,370606,24243,6.54144833057209
2021-03-06,Ohio,Stark,370606,25389,6.8506716027263455
2021-03-07,Ohio,Stark,370606,27743,7.4858475038180705
2021-03-08,Ohio,Stark,370606,29724,8.020377435875297
2021-03-09,Ohio,Stark,370606,29763,8.030900740948608
2021-03-10,Ohio,Stark,370606,30225,8.155561431817079
2021-03-11,Ohio,Stark,370606,31267,8.436722557109167
2021-03-12,Ohio,Stark,370606,32158,8.677139603784072
2021-03-13,Ohio,Stark,370606,33116,8.935635148918259
2021-03-14,Ohio,Stark,370606,35785,9.655806975602122
2021-03-15,Ohio,Stark,370606,36452,9.835782475189285
2021-03-16,Ohio,Stark,370606,37514,10.122340167185637
2021-03-17,Ohio,Stark,370606,37742,10.183861027614231
2021-03-18,Ohio,Stark,370606,38047,10.266158669854239
2021-03-19,Ohio,Stark,370606,38931,10.504686918182653
2021-03-20,Ohio,Stark,370606,39932,10.774785081731002
2021-03-21,Ohio,Stark,370606,41056,11.07807213051057
2021-03-22,Ohio,Stark,370606,41065,11.080500585527487
2021-03-23,Ohio,Stark,370606,41280,11.138513677598311
2021-03-24,Ohio,Stark,370606,41791,11.276395956892225
2021-03-25,Ohio,Stark,370606,42475,11.46095853817801
2021-03-26,Ohio,Stark,370606,43648,11.777467175383022
2021-03-27,Ohio,Stark,370606,44920,12.120688817774132
2021-03-28,Ohio,Stark,370606,47090,12.70621630518664
2021-03-29,Ohio,Stark,370606,47095,12.707565446862706
2021-03-30,Ohio,Stark,370606,47604,12.844908069486193
2021-03-31,Ohio,Stark,370606,47984,12.947442836867186
2021-04-01,Ohio,Stark,370606,48655,13.1284976497952
2021-04-02,Ohio,Stark,370606,49725,13.417213968473257
2021-04-03,Ohio,Stark,370606,50708,13.682455221987771
2021-04-04,Ohio,Stark,370606,51594,13.921523126986612
2021-04-05,Ohio,Stark,370606,52423,14.145210816878302
2021-04-06,Ohio,Stark,370606,52939,14.28444223784828
2021-04-07,Ohio,Stark,370606,53529,14.443640955624032
2021-04-08,Ohio,Stark,370606,54758,14.775259979600978
2021-04-09,Ohio,Stark,370606,56508,15.247459566223968
2021-04-10,Ohio,Stark,370606,57948,15.636012368930887
2021-04-11,Ohio,Stark,370606,60292,16.26848998667048
2021-04-12,Ohio,Stark,370606,61387,16.563952013728866
2021-04-13,Ohio,Stark,370606,62608,16.893412411024105
2021-04-14,Ohio,Stark,370606,62611,16.894221896029745
2021-04-15,Ohio,Stark,370606,66437,17.92658510655521
2021-04-16,Ohio,Stark,370606,66447,17.92928338990734
2021-04-17,Ohio,Stark,370606,68796,18.563110149323002
2021-04-18,Ohio,Stark,370606,70323,18.975138017193462
2021-04-19,Ohio,Stark,370606,72033,19.436544470407927
2021-04-20,Ohio,Stark,370606,72704,19.61759928333594
2021-04-21,Ohio,Stark,370606,75226,20.298106344743474
2021-04-22,Ohio,Stark,370606,75231,20.29945548641954
2021-04-23,Ohio,Stark,370606,77443,20.896315763911
2021-04-24,Ohio,Stark,370606,78944,21.30132809506592
2021-04-25,Ohio,Stark,370606,81244,21.921933266056136
2021-04-26,Ohio,Stark,370606,82968,22.387117315963582
2021-04-27,Ohio,Stark,370606,82972,22.388196629304435
2021-04-28,Ohio,Stark,370606,83678,22.57869543396491
2021-04-29,Ohio,Stark,370606,87486,23.60620173445654
2021-04-30,Ohio,Stark,370606,87489,23.607011219462176
2021-05-01,Ohio,Stark,370606,91693,24.74136954069821
2021-05-02,Ohio,Stark,370606,92880,25.0616557745962
2021-05-03,Ohio,Stark,370606,93242,25.15933363194336
2021-05-04,Ohio,Stark,370606,93860,25.326087543105075
2021-05-05,Ohio,Stark,370606,93865,25.32743668478114
2021-05-06,Ohio,Stark,370606,95473,25.761320647803867
2021-05-07,Ohio,Stark,370606,97797,26.3884016988392
2021-05-08,Ohio,Stark,370606,101541,27.398638985877184
2021-05-09,Ohio,Stark,370606,102870,27.757240843375445
2021-05-10,Ohio,Stark,370606,102878,27.75939947005715
2021-05-11,Ohio,Stark,370606,103454,27.914820591139918
2021-05-12,Ohio,Stark,370606,104926,28.312007900573654
2021-05-13,Ohio,Stark,370606,104929,28.312817385579294
2021-05-14,Ohio,Stark,370606,105854,28.562408595651448
2021-05-15,Ohio,Stark,370606,108156,29.183553423312087
2021-05-16,Ohio,Stark,370606,108159,29.184362908317727
2021-05-17,Ohio,Stark,370606,108770,29.349228021132955
2021-05-18,Ohio,Stark,370606,109180,29.45985763857034
2021-05-19,Ohio,Stark,370606,109620,29.578582106064122
2021-05-20,Ohio,Stark,370606,111113,29.981435810537334
2021-05-21,Ohio,Stark,370606,111117,29.982515123878187
2021-05-22,Ohio,Stark,370606,112332,30.31035655116215
2021-05-23,Ohio,Stark,370606,113799,30.70619471891982
2021-05-24,Ohio,Stark,370606,113799,30.70619471891982
2021-05-25,Ohio,Stark,370606,114031,30.76879489268927
2021-05-26,Ohio,Stark,370606,114409,30.870790003399836
2021-05-27,Ohio,Stark,370606,114949,31.01649730441493
2021-05-28,Ohio,Stark,370606,115689,31.216170272472652
2021-05-29,Ohio,Stark,370606,116166,31.34487838836932
2021-05-30,Ohio,Stark,370606,116943,31.554535004829926
2021-05-31,Ohio,Stark,370606,116945,31.555074661500353
2021-06-01,Ohio,Stark,370606,117146,31.609310156878195
2021-06-02,Ohio,Stark,370606,117674,31.75177951787073
2021-06-03,Ohio,Stark,370606,117676,31.752319174541157
2021-06-04,Ohio,Stark,370606,118114,31.87050398536451
2021-06-05,Ohio,Stark,370606,118544,31.98653016950616
2021-06-06,Ohio,Stark,370606,119300,32.19052039092729
2021-06-07,Ohio,Stark,370606,120306,32.46196769615171
2021-06-08,Ohio,Stark,370606,120751,32.58204130532155
2021-06-09,Ohio,Stark,370606,121233,32.71209856289428
2021-06-10,Ohio,Stark,370606,121235,32.71263821956471
2021-06-11,Ohio,Stark,370606,122673,33.1006513656012
2021-06-12,Ohio,Stark,370606,122675,33.10119102227163
2021-06-13,Ohio,Stark,370606,123271,33.26200871005866
2021-06-14,Ohio,Stark,370606,123922,33.43766695628241
2021-06-15,Ohio,Stark,370606,124273,33.532376701942226
2021-06-16,Ohio,Stark,370606,124582,33.615753657523086
2021-06-17,Ohio,Stark,370606,125161,33.77198426361149
