Date,Android,iOS,Windows
2009-1,1.69,37.45,2.3
2009-2,1.27,38.11,1.65
2009-3,2.27,33.01,1.99
2009-4,3.36,31.41,1.39
2010-1,5.43,31.92,0.84
2010-2,4.44,28.26,0.29
2010-3,9.01,24.81,0.39
2010-4,12,22.66,0.45
2011-1,15.22,24.64,0.58
2011-2,17.27,21.72,0.54
2011-3,20.13,20.17,0.5
2011-4,21.94,23.44,0.58
2012-1,23.83,24.47,0.62
2012-2,24.23,23.79,0.71
2012-3,28.01,24.5,1.13
2012-4,31.75,23.56,1.22
2013-1,37,26.71,1.15
2013-2,38.17,25.79,1.36
2013-3,39.26,23.61,1.67
2013-4,41.29,21.45,1.97
2014-1,46.84,23.38,2.25
2014-2,51.79,23.6,2.42
2014-3,54.72,24.4,2.38
2014-4,58.77,24.23,2.36
2015-1,60.85,22.84,2.3
2015-2,63.73,20.4,2.31
2015-3,65.49,19.18,2.26
2015-4,66.29,18.7,2.3
2016-1,66.91,19.29,2.07
2016-2,68.51,19.21,1.91
2016-3,69.02,19.77,1.75
2016-4,71.61,18.95,1.35
2017-1,71.71,19.56,1.09
2017-2,72.46,19.52,0.92
2017-3,73.21,19.48,0.82
2017-4,73.24,20.08,0.7
2018-1,74.46,20.18,0.58
2018-2,76.38,19.04,0.5
2018-3,76.92,20.17,0.4
2018-4,74.15,22.85,0.36
2019-1,74.66,22.83,0.29
2019-2,75.52,22.5,0.23
2019-3,76.18,22.22,0.19
2019-4,75.56,23.24,0.14
2020-1,73.27,25.91,0.12
2020-2,72.38,27.03,0.05
2020-3,74.43,24.98,0.03
2020-4,72.22,27.19,0.03
2021-1,71.88,27.41,0.02
2021-2,72.58,26.6,0.02
2021-3,72.47,26.7,0.02
2021-4,70.62,28.66,0.01
2022-1,70.78,28.46,0.01
2022-2,71.72,27.58,0.01
2022-3,71.64,27.71,0.02
2022-4,71.75,27.64,0.02
2023-1,71.44,27.89,0.02
2023-2,68.96,30.25,0.02
2023-3,70.46,28.83,0.02
2023-4,70.11,29.19,0.02
2024-1,70.71,28.54,0.02
2024-2,71.65,27.62,0.02
2024-3,71.72,27.69,0.02
