Datetime,Month,Weekday,Hour,Total Usage
2024-01-01 00:00:00,Jan,Monday,1,2123795.11
2024-01-01 01:00:00,Jan,Monday,2,2108246.24
2024-01-01 02:00:00,Jan,Monday,3,2066811.28
2024-01-01 03:00:00,Jan,Monday,4,2045589.38
2024-01-01 04:00:00,Jan,Monday,5,2062044.9
2024-01-01 05:00:00,Jan,Monday,6,2091135.89
2024-01-01 06:00:00,Jan,Monday,7,2120248.59
2024-01-01 07:00:00,Jan,Monday,8,2118191.36
2024-01-01 08:00:00,Jan,Monday,9,2159693.38
2024-01-01 09:00:00,Jan,Monday,10,2208713.83
2024-01-01 10:00:00,Jan,Monday,11,2276553.56
2024-01-01 11:00:00,Jan,Monday,12,2326408.49
2024-01-01 12:00:00,Jan,Monday,13,2336253.64
2024-01-01 13:00:00,Jan,Monday,14,2336713.1
2024-01-01 14:00:00,Jan,Monday,15,2320377.8
2024-01-01 15:00:00,Jan,Monday,16,2281209.69
2024-01-01 16:00:00,Jan,Monday,17,2334118.73
2024-01-01 17:00:00,Jan,Monday,18,2433328.39
2024-01-01 18:00:00,Jan,Monday,19,2443039.13
2024-01-01 19:00:00,Jan,Monday,20,2392525.26
2024-01-01 20:00:00,Jan,Monday,21,2355270.47
2024-01-01 21:00:00,Jan,Monday,22,2310017.51
2024-01-01 22:00:00,Jan,Monday,23,2216331.99
2024-01-01 23:00:00,Jan,Monday,24,2120840.86
2024-01-02 00:00:00,Jan,Tuesday,1,2061176.98
2024-01-02 01:00:00,Jan,Tuesday,2,2024022.83
2024-01-02 02:00:00,Jan,Tuesday,3,1999912.73
2024-01-02 03:00:00,Jan,Tuesday,4,2002085.17
2024-01-02 04:00:00,Jan,Tuesday,5,2061014.18
2024-01-02 05:00:00,Jan,Tuesday,6,2166585.41
2024-01-02 06:00:00,Jan,Tuesday,7,2307770.53
2024-01-02 07:00:00,Jan,Tuesday,8,2420033.38
2024-01-02 08:00:00,Jan,Tuesday,9,2480599.91
2024-01-02 09:00:00,Jan,Tuesday,10,2515260.56
2024-01-02 10:00:00,Jan,Tuesday,11,2540604.44
2024-01-02 11:00:00,Jan,Tuesday,12,2547286.22
2024-01-02 12:00:00,Jan,Tuesday,13,2553019.86
2024-01-02 13:00:00,Jan,Tuesday,14,2549843.36
2024-01-02 14:00:00,Jan,Tuesday,15,2525740.01
2024-01-02 15:00:00,Jan,Tuesday,16,2502701.24
2024-01-02 16:00:00,Jan,Tuesday,17,2509052.51
2024-01-02 17:00:00,Jan,Tuesday,18,2621928.2
2024-01-02 18:00:00,Jan,Tuesday,19,2659734.1
2024-01-02 19:00:00,Jan,Tuesday,20,2624535.61
2024-01-02 20:00:00,Jan,Tuesday,21,2598380.26
2024-01-02 21:00:00,Jan,Tuesday,22,2534137.03
2024-01-02 22:00:00,Jan,Tuesday,23,2435022.42
2024-01-02 23:00:00,Jan,Tuesday,24,2332552.76
2024-01-03 00:00:00,Jan,Wednesday,1,2257727.23
2024-01-03 01:00:00,Jan,Wednesday,2,2254633.0
2024-01-03 02:00:00,Jan,Wednesday,3,2243142.19
2024-01-03 03:00:00,Jan,Wednesday,4,2269221.73
2024-01-03 04:00:00,Jan,Wednesday,5,2319119.41
2024-01-03 05:00:00,Jan,Wednesday,6,2436288.52
2024-01-03 06:00:00,Jan,Wednesday,7,2613981.31
2024-01-03 07:00:00,Jan,Wednesday,8,2734143.18
2024-01-03 08:00:00,Jan,Wednesday,9,2776033.27
2024-01-03 09:00:00,Jan,Wednesday,10,2725182.4
2024-01-03 10:00:00,Jan,Wednesday,11,2637836.91
2024-01-03 11:00:00,Jan,Wednesday,12,2547028.4
2024-01-03 12:00:00,Jan,Wednesday,13,2488294.54
2024-01-03 13:00:00,Jan,Wednesday,14,2422735.68
2024-01-03 14:00:00,Jan,Wednesday,15,2397015.45
2024-01-03 15:00:00,Jan,Wednesday,16,2420093.24
2024-01-03 16:00:00,Jan,Wednesday,17,2480296.02
2024-01-03 17:00:00,Jan,Wednesday,18,2583304.94
2024-01-03 18:00:00,Jan,Wednesday,19,2614940.76
2024-01-03 19:00:00,Jan,Wednesday,20,2582046.77
2024-01-03 20:00:00,Jan,Wednesday,21,2571003.37
2024-01-03 21:00:00,Jan,Wednesday,22,2512306.94
2024-01-03 22:00:00,Jan,Wednesday,23,2398111.38
2024-01-03 23:00:00,Jan,Wednesday,24,2287313.07
2024-01-04 00:00:00,Jan,Thursday,1,2202813.67
2024-01-04 01:00:00,Jan,Thursday,2,2132973.61
2024-01-04 02:00:00,Jan,Thursday,3,2146713.38
2024-01-04 03:00:00,Jan,Thursday,4,2142915.5
2024-01-04 04:00:00,Jan,Thursday,5,2185854.33
2024-01-04 05:00:00,Jan,Thursday,6,2282424.41
2024-01-04 06:00:00,Jan,Thursday,7,2463267.51
2024-01-04 07:00:00,Jan,Thursday,8,2604213.65
2024-01-04 08:00:00,Jan,Thursday,9,2644001.05
2024-01-04 09:00:00,Jan,Thursday,10,2638959.43
2024-01-04 10:00:00,Jan,Thursday,11,2630690.53
2024-01-04 11:00:00,Jan,Thursday,12,2627780.15
2024-01-04 12:00:00,Jan,Thursday,13,2555649.54
2024-01-04 13:00:00,Jan,Thursday,14,2490914.94
2024-01-04 14:00:00,Jan,Thursday,15,2456391.15
2024-01-04 15:00:00,Jan,Thursday,16,2433381.2
2024-01-04 16:00:00,Jan,Thursday,17,2450064.14
2024-01-04 17:00:00,Jan,Thursday,18,2598320.92
2024-01-04 18:00:00,Jan,Thursday,19,2686738.69
2024-01-04 19:00:00,Jan,Thursday,20,2685774.66
2024-01-04 20:00:00,Jan,Thursday,21,2675864.46
2024-01-04 21:00:00,Jan,Thursday,22,2611574.53
2024-01-04 22:00:00,Jan,Thursday,23,2526367.92
2024-01-04 23:00:00,Jan,Thursday,24,2472309.86
2024-01-05 00:00:00,Jan,Friday,1,2424135.04
2024-01-05 01:00:00,Jan,Friday,2,2394727.04
2024-01-05 02:00:00,Jan,Friday,3,2395200.49
2024-01-05 03:00:00,Jan,Friday,4,2408404.33
2024-01-05 04:00:00,Jan,Friday,5,2461398.37
2024-01-05 05:00:00,Jan,Friday,6,2590576.36
2024-01-05 06:00:00,Jan,Friday,7,2758160.41
