year,workers_in_thousands
1947,1.629
1948,1.435
1949,2.537
1950,1.698
1951,1.462
1952,2.746
1953,1.623
1954,1.075
1955,2.055
1956,1.37
1957,0.887
1958,1.587
1959,1.381
1960,0.896
1961,1.031
1962,0.793
1963,0.512
1964,1.183
1965,0.999
1966,1.3
1967,2.192
1968,1.855
1969,1.576
1970,2.468
1971,2.516
1972,0.975
1973,1.4
1974,1.796
1975,0.965
1976,1.519
1977,1.212
1978,1.006
1979,1.021
1980,0.795
1981,0.7289
1982,0.6557999999999999
1983,0.9094
1984,0.376
1985,0.32389999999999997
1986,0.5331
1987,0.1744
1988,0.1183
1989,0.4521
1990,0.1849
1991,0.392
1992,0.3638
1993,0.1819
1994,0.3222
1995,0.1915
1996,0.2727
1997,0.3386
1998,0.38680000000000003
1999,0.0726
2000,0.3937
2001,0.0991
2002,0.045899999999999996
2003,0.12919999999999998
2004,0.1707
2005,0.0996
2006,0.0701
2007,0.18919999999999998
2008,0.0722
2009,0.0125
2010,0.0445
2011,0.1125
2012,0.14809999999999998
2013,0.0545
2014,0.0343
2015,0.047299999999999995
2016,0.0994
2017,0.0253
2018,0.48519999999999996
2019,0.4255
2020,0.027
2021,0.08070000000000001
2022,0.1206
2023,0.4589
2024,0.2715
