year,month,state,type_of_producer,energy_source,generation_megawatt_hrs
2001,1,AK,Total Electric Power Industry,Total,590145
2001,1,AL,Total Electric Power Industry,Total,11326642
2001,1,AR,Total Electric Power Industry,Total,3903323
2001,1,AZ,Total Electric Power Industry,Total,7573925
2001,1,CA,Total Electric Power Industry,Total,16618887
2001,1,CO,Total Electric Power Industry,Total,4163453
2001,1,CT,Total Electric Power Industry,Total,2930434
2001,1,DC,Total Electric Power Industry,Total,9251
2001,1,DE,Total Electric Power Industry,Total,626139
2001,1,FL,Total Electric Power Industry,Total,16937281
2001,1,GA,Total Electric Power Industry,Total,11084082
2001,1,HI,Total Electric Power Industry,Total,924573
2001,1,IA,Total Electric Power Industry,Total,3761273
2001,1,ID,Total Electric Power Industry,Total,605338
2001,1,IL,Total Electric Power Industry,Total,16039369
2001,1,IN,Total Electric Power Industry,Total,10947422
2001,1,KS,Total Electric Power Industry,Total,4108052
2001,1,KY,Total Electric Power Industry,Total,8118236
2001,1,LA,Total Electric Power Industry,Total,7595003
2001,1,MA,Total Electric Power Industry,Total,3801943
2001,1,MD,Total Electric Power Industry,Total,4602543
2001,1,ME,Total Electric Power Industry,Total,1648488
2001,1,MI,Total Electric Power Industry,Total,10182660
2001,1,MN,Total Electric Power Industry,Total,4332835
2001,1,MO,Total Electric Power Industry,Total,7119915
2001,1,MS,Total Electric Power Industry,Total,3563612
2001,1,MT,Total Electric Power Industry,Total,2300794
2001,1,NC,Total Electric Power Industry,Total,10511795
2001,1,ND,Total Electric Power Industry,Total,2750739
2001,1,NE,Total Electric Power Industry,Total,2898716
2001,1,NH,Total Electric Power Industry,Total,652365
2001,1,NJ,Total Electric Power Industry,Total,5305915
2001,1,NM,Total Electric Power Industry,Total,2919113
2001,1,NV,Total Electric Power Industry,Total,2965823
2001,1,NY,Total Electric Power Industry,Total,12622133
2001,1,OH,Total Electric Power Industry,Total,13162516
2001,1,OK,Total Electric Power Industry,Total,4490790
2001,1,OR,Total Electric Power Industry,Total,4150338
2001,1,PA,Total Electric Power Industry,Total,18863626
2001,1,RI,Total Electric Power Industry,Total,423873
2001,1,SC,Total Electric Power Industry,Total,7645817
2001,1,SD,Total Electric Power Industry,Total,628372
2001,1,TN,Total Electric Power Industry,Total,9106237
2001,1,TX,Total Electric Power Industry,Total,31001280
2001,1,UT,Total Electric Power Industry,Total,2957243
2001,1,VA,Total Electric Power Industry,Total,7117068
2001,1,VT,Total Electric Power Industry,Total,548206
2001,1,WA,Total Electric Power Industry,Total,8318002
2001,1,WI,Total Electric Power Industry,Total,5363511
2001,1,WV,Total Electric Power Industry,Total,8653387
2001,1,WY,Total Electric Power Industry,Total,4020680
2001,2,AK,Total Electric Power Industry,Total,546167
2001,2,AL,Total Electric Power Industry,Total,9576039
2001,2,AR,Total Electric Power Industry,Total,3372020
2001,2,AZ,Total Electric Power Industry,Total,6616639
2001,2,CA,Total Electric Power Industry,Total,14380392
2001,2,CO,Total Electric Power Industry,Total,3777266
2001,2,CT,Total Electric Power Industry,Total,1852626
2001,2,DC,Total Electric Power Industry,Total,0
2001,2,DE,Total Electric Power Industry,Total,521099
2001,2,FL,Total Electric Power Industry,Total,12761418
2001,2,GA,Total Electric Power Industry,Total,8331590
2001,2,HI,Total Electric Power Industry,Total,800847
2001,2,IA,Total Electric Power Industry,Total,3243662
2001,2,ID,Total Electric Power Industry,Total,503368
2001,2,IL,Total Electric Power Industry,Total,13913663
2001,2,IN,Total Electric Power Industry,Total,9660651
2001,2,KS,Total Electric Power Industry,Total,3273967
2001,2,KY,Total Electric Power Industry,Total,7533754
2001,2,LA,Total Electric Power Industry,Total,6105164
2001,2,MA,Total Electric Power Industry,Total,3145754
2001,2,MD,Total Electric Power Industry,Total,4182074
2001,2,ME,Total Electric Power Industry,Total,1462646
2001,2,MI,Total Electric Power Industry,Total,8870735
2001,2,MN,Total Electric Power Industry,Total,3840229
2001,2,MO,Total Electric Power Industry,Total,6215930
2001,2,MS,Total Electric Power Industry,Total,2743202
2001,2,MT,Total Electric Power Industry,Total,2105062
2001,2,NC,Total Electric Power Industry,Total,8862021
2001,2,ND,Total Electric Power Industry,Total,2513628
2001,2,NE,Total Electric Power Industry,Total,2424581
2001,2,NH,Total Electric Power Industry,Total,1280183
2001,2,NJ,Total Electric Power Industry,Total,4705993
2001,2,NM,Total Electric Power Industry,Total,2713390
2001,2,NV,Total Electric Power Industry,Total,2968734
2001,2,NY,Total Electric Power Industry,Total,11459532
2001,2,OH,Total Electric Power Industry,Total,11161698
2001,2,OK,Total Electric Power Industry,Total,4032517
2001,2,OR,Total Electric Power Industry,Total,3717815
2001,2,PA,Total Electric Power Industry,Total,15053400
2001,2,RI,Total Electric Power Industry,Total,443519
2001,2,SC,Total Electric Power Industry,Total,6638018
2001,2,SD,Total Electric Power Industry,Total,571928
2001,2,TN,Total Electric Power Industry,Total,7453653
2001,2,TX,Total Electric Power Industry,Total,25626521
2001,2,UT,Total Electric Power Industry,Total,2795819
2001,2,VA,Total Electric Power Industry,Total,5894142
2001,2,VT,Total Electric Power Industry,Total,477588
2001,2,WA,Total Electric Power Industry,Total,7088155
2001,2,WI,Total Electric Power Industry,Total,4593527
2001,2,WV,Total Electric Power Industry,Total,7380732
2001,2,WY,Total Electric Power Industry,Total,3747141
2001,3,AK,Total Electric Power Industry,Total,587115
2001,3,AL,Total Electric Power Industry,Total,9364445
