Year,Month,DOMESTIC
2003,1,"43,032,450"
2003,2,"41,166,780"
2003,3,"49,992,700"
2003,4,"47,033,260"
2003,5,"49,152,352"
2003,6,"52,209,516"
2003,7,"55,810,773"
2003,8,"53,920,973"
2003,9,"44,213,408"
2003,10,"49,944,931"
2003,11,"47,059,495"
2003,12,"49,757,124"
2004,1,"43,815,481"
2004,2,"45,306,597"
2004,3,"54,147,227"
2004,4,"53,253,194"
2004,5,"53,030,873"
2004,6,"56,959,142"
2004,7,"59,614,287"
2004,8,"57,380,873"
2004,9,"47,671,785"
2004,10,"54,167,489"
2004,11,"51,781,700"
2004,12,"52,639,838"
2005,1,"47,977,657"
2005,2,"47,074,882"
2005,3,"58,838,975"
2005,4,"54,908,859"
2005,5,"57,323,876"
2005,6,"59,724,061"
2005,7,"62,396,446"
2005,8,"59,110,633"
2005,9,"50,600,325"
2005,10,"53,738,093"
2005,11,"52,766,404"
2005,12,"52,801,276"
2006,1,"48,886,043"
2006,2,"47,348,142"
2006,3,"58,286,011"
2006,4,"55,828,555"
2006,5,"57,145,193"
2006,6,"59,297,121"
2006,7,"60,838,606"
2006,8,"58,303,233"
2006,9,"49,949,551"
2006,10,"55,088,983"
2006,11,"53,852,209"
2006,12,"53,538,970"
2007,1,"50,022,168"
2007,2,"47,766,421"
2007,3,"59,244,232"
2007,4,"57,396,328"
2007,5,"59,283,597"
2007,6,"61,493,934"
2007,7,"63,457,403"
2007,8,"62,657,667"
2007,9,"52,308,015"
2007,10,"57,206,249"
2007,11,"55,044,206"
2007,12,"53,288,538"
2008,1,"50,245,100"
2008,2,"50,118,363"
2008,3,"59,213,077"
2008,4,"55,611,053"
2008,5,"58,047,400"
2008,6,"59,559,171"
2008,7,"61,401,480"
2008,8,"58,966,473"
2008,9,"47,680,001"
2008,10,"52,956,023"
2008,11,"47,658,141"
2008,12,"50,253,658"
2009,1,"44,821,711"
2009,2,"43,677,233"
2009,3,"53,531,487"
2009,4,"52,245,401"
2009,5,"52,948,582"
2009,6,"55,898,027"
2009,7,"59,468,957"
2009,8,"56,568,180"
2009,9,"48,235,025"
2009,10,"52,279,405"
2009,11,"48,584,832"
2009,12,"49,793,438"
2010,1,"45,501,620"
2010,2,"42,440,614"
2010,3,"54,424,077"
2010,4,"52,498,074"
2010,5,"53,842,422"
2010,6,"56,689,853"
2010,7,"59,142,493"
2010,8,"57,370,748"
2010,9,"50,304,708"
2010,10,"54,826,050"
2010,11,"51,420,350"
2010,12,"51,076,415"
2011,1,"46,304,921"
2011,2,"43,657,818"
2011,3,"55,649,428"
2011,4,"52,858,479"
2011,5,"55,982,234"
2011,6,"57,778,699"
2011,7,"60,310,295"
2011,8,"57,403,835"
2011,9,"50,982,170"
2011,10,"54,124,363"
2011,11,"51,660,083"
2011,12,"51,534,907"
2012,1,"47,080,430"
2012,2,"46,405,102"
2012,3,"56,200,104"
2012,4,"53,691,455"
2012,5,"55,749,349"
2012,6,"57,903,293"
2012,7,"59,688,267"
2012,8,"58,646,304"
2012,9,"50,134,504"
2012,10,"53,779,646"
2012,11,"51,844,482"
2012,12,"51,165,451"
2013,1,"47,816,859"
2013,2,"45,740,158"
2013,3,"56,564,538"
2013,4,"53,228,575"
2013,5,"56,562,929"
2013,6,"57,990,789"
2013,7,"59,310,478"
2013,8,"58,115,405"
2013,9,"50,766,098"
2013,10,"54,706,177"
2013,11,"50,542,332"
2013,12,"54,332,936"
2014,1,"47,957,371"
2014,2,"45,513,184"
2014,3,"57,761,938"
2014,4,"55,247,482"
2014,5,"57,888,637"
2014,6,"59,261,855"
2014,7,"61,757,222"
2014,8,"59,758,814"
2014,9,"52,529,329"
2014,10,"57,084,257"
2014,11,"52,577,733"
2014,12,"55,486,727"
2015,1,"49,727,583"
2015,2,"47,164,538"
2015,3,"59,557,228"
2015,4,"57,698,044"
2015,5,"60,251,945"
2015,6,"61,810,705"
2015,7,"65,128,528"
2015,8,"62,770,180"
2015,9,"55,989,104"
2015,10,"60,892,131"
2015,11,"57,150,501"
2015,12,"57,870,281"
2016,1,"52,473,830"
2016,2,"51,111,121"
2016,3,"61,592,900"
2016,4,"58,893,676"
2016,5,"62,752,121"
2016,6,"64,757,222"
2016,7,"66,134,540"
2016,8,"63,498,165"
2016,9,"58,619,844"
2016,10,"61,708,696"
2016,11,"59,269,062"
2016,12,"59,178,183"
2017,1,"54,108,732"
2017,2,"51,077,566"
2017,3,"63,963,230"
2017,4,"61,098,649"
2017,5,"64,442,559"
2017,6,"66,746,003"
2017,7,"68,574,097"
2017,8,"66,663,503"
2017,9,"57,143,966"
2017,10,"64,624,806"
2017,11,"61,911,285"
2017,12,"61,373,581"
2018,1,"55,829,992"
2018,2,"54,077,854"
2018,3,"66,643,229"
2018,4,"64,556,900"
2018,5,"67,844,134"
2018,6,"70,277,734"
2018,7,"72,539,780"
2018,8,"70,337,936"
2018,9,"60,468,115"
2018,10,"67,081,594"
2018,11,"64,659,493"
2018,12,"63,646,119"
2019,1,"58,033,637"
2019,2,"55,679,100"
2019,3,"70,233,456"
2019,4,"66,938,177"
2019,5,"71,363,514"
2019,6,"72,789,897"
2019,7,"75,281,255"
2019,8,"72,715,566"
2019,9,"63,979,337"
2019,10,"69,922,300"
2019,11,"64,816,897"
2019,12,"69,718,631"
2020,1,"61,622,947"
2020,2,"59,868,112"
2020,3,"34,413,597"
2020,4,"2,877,290"
2020,5,"7,861,208"
2020,6,"16,132,257"
2020,7,"22,921,780"
2020,8,"24,431,273"
2020,9,"23,854,440"
2020,10,"28,026,570"
2020,11,"26,293,959"
2020,12,"27,263,462"
2021,1,"24,305,435"
2021,2,"24,483,154"
2021,3,"39,342,855"
2021,4,"43,798,512"
2021,5,"52,751,776"
2021,6,"60,109,293"
2021,7,"66,739,409"
2021,8,"60,630,994"
2021,9,"53,902,837"
2021,10,"60,546,288"
2021,11,"59,779,045"
2021,12,"59,534,619"
2022,1,"45,814,139"
2022,2,"49,075,979"
2022,3,"64,617,029"
2022,4,"63,518,318"
2022,5,"66,961,805"
2022,6,"67,368,670"
2022,7,"69,428,339"
2022,8,"66,516,349"
2022,9,"63,130,870"
2022,10,"67,927,733"
2022,11,"63,526,468"
2022,12,"62,319,928"
